round	source	organization	amount	receivingCharity	purpose
SFF-2021-H2	Jaan Tallinn	New Science Research, Inc.	$500,000	New Science Research, Inc.	General support
SFF-2021-H2	Jaan Tallinn	BERI-CHAI Collaboration	$248,000	Berkeley Existential Risk Initiative	General support of BERI-CHAI Collaboration
SFF-2021-H2	Jed McCaleb	BERI-CHAI Collaboration	$250,000	Berkeley Existential Risk Initiative	General support of BERI-CHAI Collaboration
SFF-2021-H2	Jaan Tallinn	AI Objectives Institute	$485,000	Foresight Institutee	General support of AI Objectives Institute
SFF-2021-H2	Jaan Tallinn	Topos Institute	$450,000	Topos Institute	General support
SFF-2021-H2	Jaan Tallinn	AI Safety Camp	$130,000	Rethink Charity	General support of AI Safety Camp
SFF-2021-H2	Jaan Tallinn	Emergent Ventures India	$115,000	The Mercatus Center	General support of Emergent Ventures India
SFF-2021-H2	Jaan Tallinn	European Biostasis Foundation	$103,000	European Biostasis Foundation	General support
SFF-2021-H2	Jaan Tallinn	Modeling Cooperation	$83,000	Convergence Analysis	General support of Modeling Cooperation
SFF-2021-H2	Jaan Tallinn	Research on AI & International Relations	$34,000	Convergence Analysis	General support of Research on AI & International Relations
