Grant,"Organization Name","Focus Area",Amount,Date
"PATH — RTS,S Malaria Vaccine Implementation",PATH,"GiveWell-Recommended Charities","$4,998,769","February 2022"
"Eurogroup for Animals — European Union Trade Strategy (2022)","Eurogroup for Animals","Farm Animal Welfare","$912,994","February 2022"
"Sneha’s Care — Dairy Welfare Regulations","Sneha’s Care","Farm Animal Welfare","$110,050","July 2021"
"Korean Animal Welfare Association — Cage-Free Layer Hen Farming","Korean Animal Welfare Association","Cage-Free Reforms","$57,000","August 2021"
"Desegregate CT — General Support","Desegregate CT","Land Use Reform","$425,000","November 2021"
"Malaria Consortium — Support for SMC in FCT and Oyo States, Nigeria","Malaria Consortium","GiveWell-Recommended Charities","$15,900,000","October 2021"
"Mila — Research Project on Artificial Intelligence","Montreal Institute for Learning Algorithms",Longtermism,"$237,931","November 2021"
"fair-fish international association — Wild-Caught Fish Welfare Standards","fair-fish international association","Farm Animal Welfare","$2,672,830","November 2021"
"Good Forever Foundation — Pandemic Preparedness and COVID-19 Mitigation (2021)","Good Forever Foundation","Biosecurity & Pandemic Preparedness","$200,000","January 2022"
"FAI Farms — Layer Hen Welfare Research","FAI Farms","Farm Animal Welfare","$98,500","January 2022"
"University of British Columbia — Layer Hen Welfare Research","University of British Columbia","Farm Animal Welfare","$86,900","June 2021"
"Center for Global Development — Oral COVID Antivirals","Center for Global Development","Global Health & Development","$800,000","February 2022"
"Nigerian Institute of Medical Research – COVID-19 Fractional Dosing Trial","Nigerian Institute of Medical Research","Biosecurity & Pandemic Preparedness","$2,921,000","January 2022"
"theguardian.org – Journalism on Factory Farming and Animal Cruelty (2021)","The Guardian","Farm Animal Welfare","$450,000","December 2021"
"GiveWell — General Support (2021)",GiveWell,"Global Health & Wellbeing","$3,600,295","October 2021"
"National Bureau of Economic Research — Innovation Policy Working Group","National Bureau of Economic Research","Other Scientific Research Areas","$467,500","August 2021"
"iGEM — Biological Weapons Convention Verification Project","iGem,International Genetically Engineered Machine Foundation","Biosecurity & Pandemic Preparedness","$300,000","November 2021"
"Lead for Farmed Animals — Movement-Building Workshop","Lead for Farmed Animals,Rethink Charity","Farm Animal Welfare","$352,700","July 2021"
"Schepens Eye Research Institute at Mass Eye and Ear — Pulmonary Fibrosis Drug (Leo Kim)","Mass Eye and Ear","Scientific Research","$920,000","July 2021"
"Kansas State University — Fungal Genetics Stock Center","Kansas State University","Human Health and Wellbeing","$50,000","July 2021"
"International Vaccines Institute — Schistosomiasis Vaccine Assessment","International Vaccines Institute","Human Health and Wellbeing","$140,000","August 2021"
"Atlas Fellowship — Scholarships and Summer Program for Students","Atlas Fellowship","Effective Altruism Community Growth","$5,000,000","March 2022"
"Employ America — Exit Grant","Employ America","Macroeconomic Stabilization Policy","$1,250,000","January 2022"
"University of Washington — Protein Design Research (David Baker)","University of Washington (Institute for Protein Design)","Human Health and Wellbeing","$3,263,750","November 2021"
"San Francisco Rising — Criminal Justice Reform","San Francisco Rising","Criminal Justice Reform","$50,000","February 2021"
"Kurzgesagt — Video Creation and Translation",Kurzgesagt,Longtermism,"$2,855,224","December 2021"
"Early-Career Funding for Improving the Long-Term Future — Scholarship Support (2021)",,Longtermism,"$1,643,373","February 2021"
"Brian Christian — The Alignment Problem Book Promotion","Brian Christian",Longtermism,"$60,859","March 2021"
"University of Victoria — Syphilis Diagnostic (Caroline Cameron)","University of Victoria","Scientific Research","$2,000,000","February 2022"
"EA Funding for Individuals — Work and Study Support",,"Effective Altruism Community Growth","$589,030","July 2021"
"Early-Career Funding for Improving the Long-Term Future — Scholarship Support (2022)","Scholarship (Various)",Longtermism,"$1,369,512","February 2022"
"Animal Welfare Awareness, Research, and Education — Pig Welfare Reforms","Animal Welfare Awareness, Research, and Education","Farm Animal Welfare","$267,723","December 2021"
"University of Southern California — Adversarial Robustness Research","University of Southern California","Potential Risks from Advanced AI","$32,000","August 2021"
"Founders Pledge — General Support (2021)","Founders Pledge","Other Areas","$1,000,000","November 2021"
"Centre for Effective Altruism — Effective Altruism Infrastructure Fund","Center for Effective Altruism","Effective Altruism Community Growth","$500,000","October 2021"
"Kainomyx — Antimalarial Drug (2021)",Kainomyx,"Other Scientific Research Areas","$4,000,000","September 2021"
"Centre for the Governance of AI — AI Field Building","Centre for the Governance of AI",Longtermism,"$2,537,600","December 2021"
"University of Rochester — Rural-Urban Migration in Kenya","University of Rochester","Global Health & Development","$1,007,377","October 2021"
"UC Berkeley — Alternative Meats Lab (2021)","UC Berkeley","Alternatives to Animal Products","$1,146,201","October 2021"
"University of Washington — Universal Influenza Vaccines (Neil King)","University of Washington (Institute for Protein Design)","Other Scientific Research Areas","$3,230,394","September 2021"
"Dyrevernalliansen — Wild-Caught Fish Welfare Research","Dyrevernalliansen (The Norwegian Animal Protection Alliance)","Farm Animal Welfare","$568,893","August 2021"
"UCSF — Chronic Pain Research (Allan Basbaum) (2021)","University of California, San Francisco","Other Scientific Research Areas","$1,066,312","September 2021"
"The People’s Lobby – Reform Implementation and Prosecutorial Accountability","The People's Lobby","Criminal Justice Reform","$250,000","August 2021"
"Texas Organizing Project — Criminal Justice Reform (2021)","Texas Organizing Project","Criminal Justice Reform","$1,200,000","November 2021"
"UC Berkeley — Course Development Support (Jacob Steinhardt)","UC Berkeley","Other Areas","$53,983","August 2021"
"Biosecurity Funding for Individuals — Work and Study Support",,"Biosecurity & Pandemic Preparedness","$280,805","December 2021"
"Should We Studio — Video Production","Should We Studio","Effective Altruism Community Growth","$2,320,000","January 2022"
"UC Berkeley — Tuberculosis Diagnosis (Adithya Cattamanchi and Sarah Stanley)",Berkeley,"Human Health and Wellbeing","$60,000","July 2021"
"The Degrees Initiative — General Support (2021)","The Degrees Initiative",Longtermism,"$5,000,000","November 2021"
"Dao Foods — Plant-Based Startup Incubator (2021)","Dao Foods","Farm Animal Welfare","$1,050,000","June 2021"
"Give2Asia and the Lingnan Foundation — Farm Animal Welfare","Give2Asia and the Lingnan Foundation","Farm Animal Welfare","$441,500","December 2021"
"George Washington University — Innovation in National Security Fellowship","George Washington University","Biosecurity & Pandemic Preparedness","$450,000","August 2021"
"Federation of American Scientists — Biosecurity and Pandemic Preparedness Fellowship","Federation of American Scientists","Biosecurity & Pandemic Preparedness","$480,000","August 2021"
"University of Washington — Syphilis Vaccine Development (Lorenzo Giacani)","University of Washington (Institute for Protein Design)","Human Health and Wellbeing","$816,063","August 2021"
"Malaria Consortium — Monitoring and Evaluation of Net Distribution in Anambra, Nigeria","Malaria Consortium","Global Health & Development","$1,099,808","December 2021"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (2021)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$2,000,000","December 2021"
"UC Davis — Malaria Gene Drive Feasibility Analysis (Greg Lanzaro) (2021)","UC Davis","Human Health and Wellbeing","$10,248,967","December 2021"
"The Good Food Institute — General Support (2021)","The Good Food Institute","Farm Animal Welfare","$10,000,000","October 2021"
"Redwood Research — General Support","Redwood Research","Potential Risks from Advanced AI","$9,420,000","November 2021"
"Institute for Progress — Policy Research","Institute for Progress","Immigration Policy","$1,600,000","October 2021"
"Compassion in World Farming USA — General Support (2016)","Compassion in World Farming USA","Broiler Chicken Welfare","$550,000","April 2016"
"Applied Research Laboratory for Intelligence and Security — Forecasting Platforms","Applied Research Laboratory for Intelligence and Security","Other Areas","$7,993,782","September 2021"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2021)",,"Biosecurity & Pandemic Preparedness","$2,144,789","January 2021"
"Rethink Priorities — AI Governance Research","Rethink Priorities",Longtermism,"$612,185","July 2021"
"California YIMBY — General Support (2021)","California YIMBY","Land Use Reform","$2,600,000","June 2021"
"Dyrevernalliansen — Fish Welfare (2021)","Dyrevernalliansen (The Norwegian Animal Protection Alliance)","Farm Animal Welfare","$300,000","June 2021"
"Equalia — General Support",Equalia,"Broiler Chicken Welfare","$817,000","May 2021"
"Open New York — General Support","Open New York","Land Use Reform","$1,000,000","August 2021"
"Malaria Consortium — Monitoring and Evaluation of LLIN Distribution Campaign","Malaria Consortium","Global Health & Development","$2,051,853","July 2021"
"Alliance for International Medical Action — Treatment of Malnutrition in Niger","Alliance for International Medical Action","Global Health & Development","$1,008,450","January 2021"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (2021)","Malaria Consortium","Global Health & Development","$21,942,167","March 2021"
"Malaria Consortium — Support for LLIN Distribution Campaigns","Malaria Consortium","Global Health & Development","$27,175,074","April 2021"
"Voters Organized to Educate — Civic Engagement and Criminal Justice Reform","Voters Organized to Educate","Criminal Justice Reform","$700,000","August 2021"
"Elle Pfeffer — Dissertation Research","Elle Pfeffer","Criminal Justice Reform","$5,000","July 2021"
"Riverside Justice Table — Prosecutor Accountability (2021)","Riverside Justice Table","Criminal Justice Reform","$217,000","June 2021"
"Action St. Louis — Prosecutor Accountability","Action St. Louis","Criminal Justice Reform","$65,000","May 2021"
"Free Hearts — Criminal Justice Reform (2021)","Free Hearts","Criminal Justice Reform","$400,000","July 2017"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work (2021)","Justice Solutions","Criminal Justice Reform","$55,000","July 2021"
"Just Impact — Safely Reducing Incarceration","Just Impact","Criminal Justice Reform","$50,000,000","December 2021"
"Working Families Organization — Prosecutor Accountability and Criminal Justice Reform (2021)","Working Families Organization","Criminal Justice Reform","$1,500,000","November 2021"
"Community Justice Exchange — Technical Assistance, Campaign Support, and Re-grants","Community Justice Exchange","Criminal Justice Reform","$1,400,000","May 2021"
"Colorado Criminal Justice Reform Coalition — Criminal Justice Reform Work","Colorado Criminal Justice Reform Coalition,Colorado Criminal Justice Reform Coalition 4 Action","Criminal Justice Reform","$450,000","June 2021"
"Southsiders Organized for Unity and Liberation — Reform Implementation and Prosecutorial Accountability","Southsiders Organized for Unity and Liberation","Criminal Justice Reform","$500,000","July 2021"
"Chicago Community Bond Fund — Support for the Coalition to End Money Bond (2021)","Chicago Community Bond Fund","Criminal Justice Reform","$85,000","July 2021"
"Partnership for Safety and Justice — Crisis Communications Strategy","Partnership for Safety and Justice","Criminal Justice Reform","$50,000","October 2020"
"Hypermind — AI Forecasting Tournament",Hypermind,Longtermism,"$121,124","March 2021"
"Metaculus — AI Forecasting Tournament",Metaculus,Longtermism,"$100,000","July 2019"
"Federation of American Scientists — High-Skilled Immigration Policy","Federation of American Scientists","Immigration Policy","$600,000","July 2021"
"Stanford University — Adversarial Robustness Research (Dimitris Tsipras)","Stanford University",Longtermism,"$330,792","August 2021"
"Charity Entrepreneurship — Development of New Animal Welfare Charities (2021)","Charity Entrepreneurship","Farm Animal Welfare","$247,500","April 2021"
"Purdue University — Preclinical Data Research (Douglas Brubaker)","Purdue University","Scientific Innovation: Tools and Techniques","$1,500,000","August 2021"
"Compassion in World Farming — Fish Welfare and Efforts to End Cages (2021)","Compassion in World Farming","Cage-Free Reforms","$5,055,105","July 2021"
"Stanford University — Adversarial Robustness Research (Shibani Santurkar)","Stanford University",Longtermism,"$330,792","August 2021"
"Californians Against Pandemics — California Pandemic Early Detection and Prevention Act Ballot Initiative","Californians Against Pandemics","Biosecurity & Pandemic Preparedness","$11,100,000","October 2021"
"Pure Earth — Support for Reducing Lead Exposure in Low- and Middle-Income Countries","Pure Earth","Global Health & Development","$2,130,000","August 2021"
"Reducetarian Foundation — Reducetarian Fellowship","Reducetarian Foundation","Farm Animal Welfare","$200,000","July 2021"
"Animal Equality — Cage-Free and Broiler Welfare (2021)","Animal Equality","Farm Animal Welfare","$3,000,000","July 2021"
"Animal Alliance Asia — Farm Animal Welfare Movement Building in Asia","Animal Alliance Asia","Farm Animal Welfare","$120,000","August 2021"
"Center for Global Development — Malaria Reduction","Center for Global Development","Human Health and Wellbeing","$50,000","June 2021"
"Animal Charity Evaluators — General Support (2021)","Animal Charity Evaluators","Farm Animal Welfare","$700,000","June 2021"
"University of Notre Dame — Nanopore Protein Sequencing (Gregory Timp) (2021)","University of Notre Dame","Scientific Innovation: Tools and Techniques","$1,769,056","August 2021"
"Center for Security and Emerging Technology — Biosecurity Research Project","Center for Security and Emerging Technology","Biosecurity & Pandemic Preparedness","$3,330,000","August 2021"
"Employ America — General Support (2021)","Employ America","Macroeconomic Stabilization Policy","$1,250,000","May 2021"
"Global Priorities Institute — General Support (2021)","Global Priorities Institute","Other Areas","$3,333,997","June 2021"
"Mercy for Animals — Corporate Campaigns (2021)","Mercy For Animals","Broiler Chicken Welfare","$3,000,000","June 2021"
"Berkeley Existential Risk Initiative – SERI Summer Fellowships","Berkeley Existential Risk Initiative",Longtermism,"$210,000","March 2021"
"Dezernat Zukunft — General Support and Re-Granting","Dezernat Zukunft","Macroeconomic Stabilization Policy","$4,000,000","July 2021"
"Carnegie Mellon University — Adversarial Robustness Research","Carnegie Mellon University",Longtermism,"$330,000","May 2021"
"Center for Security and Emerging Technology — General Support (August 2021)","Center for Security and Emerging Technology",Longtermism,"$38,920,000","August 2021"
"Daniel Dewey — AI Alignment Project","Daniel Dewey",Longtermism,"$175,000","May 2021"
"UC Berkeley — Air Quality Sensors in South Asia","UC Berkeley","South Asian Air Quality","$700,000","December 2020"
"Indian Institute of Technology Delhi — Air Quality Sensors in South Asia","Indian Institute of Technology Delhi","South Asian Air Quality","$88,000","February 2021"
"Council on Energy, Environment, and Water — Air Quality Sensors in South Asia","Council on Energy, Environment, and Water","South Asian Air Quality","$410,000","February 2021"
"Wild Animal Initiative — Animal Welfare Research","Wild Animal Initiative","Farm Animal Welfare","$3,500,000","June 2021"
"Positive Money Europe — Macroeconomic Policy Research and Advocacy","Positive Money Europe","Macroeconomic Stabilization Policy","$73,368","January 2021"
"Altruistic Technology Labs — Planning Grant","Altruistic Technology Labs","Biosecurity & Pandemic Preparedness","$250,000","December 2020"
"Power Coalition for Equity and Justice — Criminal Justice Reform (2020)","Power Coalition for Equity and Justice","Criminal Justice Reform","$30,000","November 2020"
"Urban Institute — Countercyclical State Funding Mechanisms","Urban Institute","Macroeconomic Stabilization Policy","$50,000","November 2020"
"AI Impacts — General Support (2020)","AI Impacts",Longtermism,"$50,000","November 2020"
"Health Alliance for Violence Intervention — General Support","Health Alliance for Violence Intervention","Criminal Justice Reform","$25,000","April 2021"
"Future of Humanity Institute — Research Scholars Programs (2021)","Future of Humanity Institute",Longtermism,"$3,121,861","April 2021"
"Effective Altruism Debate Championship — General Support","Effective Altruism Debate Championship","Effective Altruism Community Growth","$5,915","January 2021"
"Impact Alliance — Cage-Free Program","Impact Alliance","Cage-Free Reforms","$40,000","November 2020"
"People for Animals Uttarakhand — Farm Animal Welfare Fellowship","People for Animals Uttarakhand","Farm Animal Welfare","$85,000","January 2021"
"The Ahimsa Collective — “Life Comes From It” Fund Administration (2020)","The Ahimsa Collective","Criminal Justice Reform","$155,000","December 2020"
"Institute of Agrifood Research and Technology — Fish Welfare Certification Standards","Institute of Agrifood Research and Technology","Farm Animal Welfare","$237,043","January 2021"
"UC Santa Cruz — Adversarial Robustness Research","UC Santa Cruz",Longtermism,"$265,000","January 2021"
"Frontline Wellness — General Support","Frontline Wellness","Criminal Justice Reform","$240,000","January 2021"
"University of Tübingen — Robustness Research (Wieland Brendel)","University of Tübingen",Longtermism,"$590,000","February 2021"
"Tampere University — Work on Global Catastrophic Risks (2021)","Tampere University","Biosecurity & Pandemic Preparedness","$20,000","March 2021"
"Weill Cornell Medical College — COVID-19 Antiviral Studies (Ria Goswami)","Weill Cornell Medical College","Scientific Research","$220,553","February 2021"
